"last_name, first_name",player_id,year,k_percent,bb_percent,p_out,p_win,p_shutout,p_era,p_opp_batting_avg,p_total_strike,z_swing_miss_percent,oz_swing_miss_percent,pitch_count_fastball,pitch_count_breaking,in_zone_percent,whiff_percent,f_strike_percent,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,ch_avg_speed,ch_avg_spin,cu_avg_speed,cu_avg_spin,si_avg_speed,si_avg_spin,fc_avg_speed,fc_avg_spin,fs_avg_speed,fs_avg_spin,st_avg_speed,st_avg_spin,fastball_avg_speed,fastball_avg_spin
"Blach, Ty",621389,2024,10.9,5.5,214,3,0,6.94,,756,10.5,25.8,731,124,52.2,14.8,70.3,,,,,,80.0,1966.0,79.2,2317.0,89.1,2048.0,82.9,2292.0,,,,,87.8,2100
"Thorpe, Drew",689672,2024,13.2,11.1,133,3,0,5.48,,434,20.0,32.7,336,105,44.4,23.9,57.4,91.0,2190.0,14.6,81.5,2393.0,81.6,2114.0,,,,,86.2,2400.0,,,79.1,2496.0,89.5,2255
"Hernández, Daysbel",678226,2024,35.1,13.5,54,3,0,2.5,,208,20.2,59.3,151,179,45.2,34.8,54.8,97.4,2368.0,54.2,89.0,2783.0,,,,,97.9,2426.0,,,,,,,97.4,2370
"King, Michael",650633,2024,27.7,8.7,521,13,0,2.95,,1872,20.9,45.6,1506,162,49.1,29.3,66.1,93.7,2286.0,5.6,85.7,2425.0,86.7,2045.0,,,92.9,2263.0,,,,,82.0,2700.0,93.3,2274
"Junis, Jakob",596001,2024,20.2,3.2,201,4,0,2.69,,655,19.5,39.8,435,426,57.2,24.6,72.3,92.5,2217.0,45.2,83.0,2548.0,86.6,1394.0,,,91.9,2160.0,88.2,2383.0,,,,,92.0,2174
"Chavez, Jesse",445926,2024,20.8,7.2,190,2,0,3.13,,666,13.7,25.8,814,90,48.6,17.0,61.2,,,1.6,81.4,2412.0,85.2,1882.0,75.7,2558.0,90.7,1988.0,88.8,2201.0,,,,,89.5,2127
"Lucas, Easton",687922,2024,16.4,14.8,35,1,0,10.8,,153,11.6,27.0,183,5,47.2,16.3,62.3,94.3,2207.0,2.0,85.2,2231.0,86.7,1255.0,,,,,90.5,2179.0,,,82.7,2279.0,93.2,2199
"Heaney, Andrew",571760,2024,22.9,5.9,480,5,0,4.28,,1790,17.9,45.8,1412,838,50.0,26.3,63.6,91.6,2401.0,27.2,82.6,2509.0,83.7,2105.0,75.5,2536.0,91.9,2426.0,84.7,2373.0,,,,,91.5,2401
"Martinez, Justin",679885,2024,29.5,11.7,218,5,0,2.48,,743,23.3,57.3,666,255,48.4,34.5,63.0,100.5,2229.0,21.7,89.8,2361.0,,,,,100.2,2080.0,,,89.8,845.0,,,100.3,2112
"Devenski, Chris",606965,2024,19.7,11.5,80,2,0,6.75,,333,15.6,53.4,239,0,46.7,27.1,68.0,93.2,2392.0,,,,82.8,1698.0,,,91.5,2159.0,85.2,2218.0,,,77.7,2242.0,90.6,2324
"Emanuel, Kent",592288,2024,14.6,8.5,53,0,0,6.62,,190,10.4,18.5,176,1,51.7,12.2,59.8,,,0.3,80.9,2290.0,82.3,1714.0,,,89.4,2029.0,,,,,75.9,2364.0,89.4,2029
"Eovaldi, Nathan",543135,2024,23.9,6.0,512,12,0,3.8,,1778,19.4,44.5,1379,435,52.5,26.8,65.7,95.4,2188.0,2.9,86.0,2121.0,,,76.7,1933.0,,,91.3,2275.0,88.4,1599.0,,,94.2,2213
"Muñoz, Andrés",662253,2024,33.2,11.2,178,3,0,2.12,,596,24.3,60.5,503,448,41.4,39.8,59.8,98.4,2256.0,47.1,87.6,2247.0,,,,,97.5,2007.0,,,,,,,98.1,2159
"Sánchez, Sixto",664350,2024,10.5,8.6,107,0,0,6.06,,397,9.5,25.8,427,0,53.3,13.2,52.5,93.8,2118.0,,,,85.4,1783.0,,,92.7,2061.0,83.6,2301.0,,,,,88.7,2204
"Joyce, Ben",690829,2024,23.2,9.9,104,2,0,2.08,,350,24.5,43.1,438,82,53.6,29.0,64.1,102.1,2291.0,15.2,86.2,2722.0,92.1,1379.0,,,97.0,1707.0,,,,,,,99.9,2035
"Mize, Casey",663554,2024,17.3,6.4,307,2,0,4.49,,1167,14.7,41.7,849,600,50.9,22.0,67.9,95.5,2260.0,26.0,85.8,2233.0,,,79.6,2123.0,95.5,2164.0,87.0,2148.0,86.2,1258.0,,,95.4,2241
"Martinez, Seth",661527,2024,16.2,8.1,158,3,0,3.59,,529,17.4,36.3,449,0,48.1,23.0,60.2,90.8,2112.0,,,,84.7,1625.0,,,89.8,2019.0,,,,,79.1,2416.0,90.4,2076
"Bowman, Matt",621199,2024,18.2,9.8,92,1,0,4.4,,302,12.6,35.7,293,0,48.1,18.6,61.8,93.7,2044.0,,,,,,,,92.2,2069.0,90.6,2186.0,84.3,1155.0,82.7,2623.0,91.6,2108
"Vest, Will",676684,2024,21.8,6.2,211,3,0,2.82,,775,19.6,36.6,797,251,52.6,24.3,61.0,96.1,2162.0,21.6,86.9,2381.0,89.0,1631.0,,,94.9,2016.0,,,,,,,95.9,2135
"Mears, Nick",683232,2024,29.3,9.4,173,1,0,5.93,,686,20.9,47.6,619,409,53.6,28.5,66.3,96.7,2318.0,22.6,86.5,2534.0,,,81.5,2537.0,,,,,,,,,96.7,2318
"Puk, A.J.",640462,2024,29.9,9.5,214,4,0,3.15,,781,24.1,49.7,680,254,53.5,31.8,66.1,95.6,2266.0,21.7,85.5,2268.0,90.3,1960.0,,,94.6,2155.0,,,84.4,1102.0,81.5,2289.0,95.3,2238
"Holmes, Grant",656550,2024,24.8,5.3,205,2,0,3.56,,692,18.0,61.9,466,546,49.6,32.4,64.9,94.6,2308.0,32.3,86.5,2736.0,91.3,1892.0,83.9,2843.0,,,92.6,2446.0,,,,,94.2,2333
"Anderson, Nick",623433,2024,19.0,9.8,107,3,0,4.04,,371,19.4,36.7,278,261,53.9,23.4,66.4,94.6,2178.0,,,,88.2,1699.0,81.7,1975.0,95.0,2103.0,,,,,,,94.8,2138
"Bickford, Phil",641360,2024,15.4,2.6,25,0,0,8.64,,99,22.0,40.9,118,36,46.8,28.6,56.4,93.3,2190.0,23.4,83.6,2248.0,,,,,94.2,2953.0,,,,,,,93.3,2197
"Garcia, Robert",676395,2024,29.9,6.4,179,3,0,4.22,,657,23.7,42.3,500,151,53.1,29.4,70.1,94.5,2226.0,16.0,85.5,2324.0,87.7,1680.0,,,94.2,2202.0,,,,,,,94.5,2226
