"last_name, first_name",player_id,year,pa,ab,hit,home_run,r_total_stolen_base,walk,strikeout,batting_avg,on_base_percent,slg_percent,on_base_plus_slg,isolated_power,babip,xba,xslg,woba,xwoba,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,r_run,b_rbi,data_year,last_name,first_name,Name,Name_norm,diff_xwoba,breakout_score,diff_babip
"Grissom, Vaughn",687093,2026,177,153,36,4,0,16,20,0.235,0.318,0.379,0.697,0.144,0.242,0.258,0.423,0.31,0.341,89.6,14.3,6.6,17,30,2026,Grissom,Vaughn,Vaughn Grissom,vaughngrissom,0.031000000000000028,28.599999999999987,0.057999999999999996
"McLain, Matt",680574,2025,577,510,112,15,18,55,167,0.22,0.3,0.343,0.643,0.123,0.27,0.222,0.38,0.29,0.308,88.9,16.3,8.75,73,50,2025,McLain,Matt,Matt McLain,mattmclain,0.018000000000000016,28.400000000000013,0.02999999999999997
"Sosa, Lenyn",672820,2025,544,518,137,22,2,18,127,0.264,0.293,0.434,0.727,0.17,0.274,0.242,0.406,0.264,0.288,89.7,18.4,8.0,57,75,2025,Sosa,Lenyn,Lenyn Sosa,lenynsosa,0.023999999999999966,28.380000000000003,0.025999999999999968
"Rogers, Jake",668670,2025,142,123,23,3,0,15,39,0.187,0.277,0.333,0.61,0.146,0.225,0.18,0.306,0.246,0.259,88.1,17.2,9.05,14,19,2025,Rogers,Jake,Jake Rogers,jakerogers,0.013000000000000012,28.26999999999999,0.07499999999999998
"Butler, Lawrence",671732,2025,630,569,133,21,22,59,179,0.234,0.306,0.404,0.71,0.17,0.278,0.235,0.381,0.286,0.305,89.5,9.2,8.25,83,63,2025,Butler,Lawrence,Lawrence Butler,lawrencebutler,0.019000000000000017,28.22,0.021999999999999964
"Smith, Cam",701358,2025,493,441,104,9,8,43,137,0.236,0.312,0.358,0.67,0.122,0.297,0.242,0.409,0.296,0.318,88.65,8.9,9.3,55,51,2025,Smith,Cam,Cam Smith,camsmith,0.02200000000000002,28.170000000000016,0.0030000000000000027
"Schneemann, Daniel",682177,2025,422,379,78,12,9,38,117,0.206,0.283,0.354,0.637,0.148,0.27,0.218,0.376,0.278,0.294,88.3,10.9,9.35,48,41,2025,Schneemann,Daniel,Daniel Schneemann,danielschneemann,0.01599999999999996,27.959999999999987,0.02999999999999997
"Moreno, Gabriel",672515,2025,309,277,79,9,2,29,53,0.285,0.353,0.433,0.786,0.148,0.318,0.281,0.458,0.348,0.358,90.25,14.4,8.15,44,40,2025,Moreno,Gabriel,Gabriel Moreno,gabrielmoreno,0.010000000000000009,27.86,-0.018000000000000016
"Caratini, Victor",605170,2025,386,344,89,12,1,23,65,0.259,0.324,0.404,0.728,0.145,0.273,0.254,0.42,0.314,0.336,89.1,12.5,7.75,35,46,2025,Caratini,Victor,Victor Caratini,victorcaratini,0.02200000000000002,27.52999999999999,0.02699999999999997
"Lowe, Nathaniel",663993,2025,609,540,123,18,1,62,159,0.228,0.307,0.381,0.688,0.153,0.296,0.25,0.424,0.331,0.334,88.9,10.9,9.3,64,84,2025,Lowe,Nathaniel,Nathaniel Lowe,nathaniellowe,0.0030000000000000027,27.520000000000014,0.0040000000000000036
