Name,Oponente,PA_hist,AVG_hist,K%_hist,xwOBA_hist,EV_hist,Fav_Score,Clasificacion
Gordon Graceffo,Toronto Blue Jays,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Washington Nationals,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Bradley Blalock,Arizona Diamondbacks,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Athletics,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Atlanta Braves,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Baltimore Orioles,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Boston Red Sox,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Chicago Cubs,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Chicago White Sox,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Cincinnati Reds,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Cleveland Guardians,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Colorado Rockies,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Detroit Tigers,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Houston Astros,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Kansas City Royals,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Los Angeles Angels,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Los Angeles Dodgers,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Miami Marlins,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Milwaukee Brewers,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Minnesota Twins,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,New York Mets,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,New York Yankees,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Philadelphia Phillies,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Pittsburgh Pirates,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,San Diego Padres,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,San Francisco Giants,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Seattle Mariners,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,St. Louis Cardinals,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Tampa Bay Rays,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Texas Rangers,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Toronto Blue Jays,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Bradley Blalock,Washington Nationals,422,0.284,11.1,0.402,85.2,0,🟡 Normal
Graham Ashcraft,Arizona Diamondbacks,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Athletics,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Atlanta Braves,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Baltimore Orioles,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Boston Red Sox,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Chicago Cubs,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Chicago White Sox,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Cincinnati Reds,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Cleveland Guardians,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Colorado Rockies,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Detroit Tigers,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Houston Astros,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Kansas City Royals,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Los Angeles Angels,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Los Angeles Dodgers,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Miami Marlins,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Milwaukee Brewers,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Minnesota Twins,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,New York Mets,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,New York Yankees,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Philadelphia Phillies,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Pittsburgh Pirates,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,San Diego Padres,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,San Francisco Giants,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Seattle Mariners,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,St. Louis Cardinals,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Tampa Bay Rays,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Texas Rangers,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
Graham Ashcraft,Toronto Blue Jays,1722,0.246,17.4,0.326,82.6,3,🟢 Favorable
