yahoo_name,yahoo_norm,position,status,ownership
Zach Brzykcy,zachbrzykcy,RP,active,freeagent
Carlos Narváez,carlosnarvaez,C,active,freeagent
Kyle Backhus,kylebackhus,RP,active,freeagent
Steven Cruz,stevencruz,RP,active,freeagent
Cole Young,coleyoung,2B,active,freeagent
Weston Wilson,westonwilson,"2B,3B,OF",active,freeagent
Troy Johnston,troyjohnston,"1B,OF",active,freeagent
Jake Mangum,jakemangum,OF,active,freeagent
Darell Hernaiz,darellhernaiz,"2B,3B,SS",active,freeagent
Braxton Fulford,braxtonfulford,C,active,freeagent
Brandon Eisert,brandoneisert,"SP,RP",active,freeagent
Justin Dean,justindean,OF,active,freeagent
Nick Sogard,nicksogard,"1B,2B",IL10,freeagent
Ryan Watson,ryanwatson,RP,active,freeagent
David Fry,davidfry,OF,active,freeagent
Hunter Feduccia,hunterfeduccia,C,active,freeagent
Cade Gibson,cadegibson,RP,active,freeagent
Cam Sanders,camsanders,RP,active,freeagent
Ryan Zeferjahn,ryanzeferjahn,RP,active,freeagent
Andrés Chaparro,andreschaparro,1B,active,freeagent
Cam Booser,cambooser,RP,active,freeagent
Cody Freeman,codyfreeman,2B,IL10,freeagent
Andruw Monasterio,andruwmonasterio,"1B,2B,3B,SS",active,freeagent
Pedro Pagés,pedropages,C,active,freeagent
Ryan Walker,ryanwalker,RP,active,freeagent
Tyler Tolbert,tylertolbert,OF,active,freeagent
Kody Funderburk,kodyfunderburk,RP,active,freeagent
Chad Patrick,chadpatrick,"SP,RP",active,freeagent
Tyler Ferguson,tylerferguson,RP,active,freeagent
Kyler Fedko,kylerfedko,OF,active,freeagent
Tristan Gray,tristangray,"2B,3B,SS",active,freeagent
Cody Laweryson,codylaweryson,RP,active,freeagent
Wade Meckler,wademeckler,OF,active,freeagent
Isaac Collins,isaaccollins,OF,active,freeagent
Nathan Church,nathanchurch,OF,active,freeagent
Franco Aleman,francoaleman,RP,active,freeagent
Daniel Schneemann,danielschneemann,"2B,3B,SS,OF",active,freeagent
Mason Fluharty,masonfluharty,"SP,RP",active,freeagent
Ben Malgeri,benmalgeri,OF,active,freeagent
Grant Anderson,grantanderson,RP,active,freeagent
Max Schuemann,maxschuemann,"2B,3B,SS,OF",active,freeagent
Victor Bericoto,victorbericoto,OF,active,freeagent
Jakob Marsee,jakobmarsee,OF,active,freeagent
Jacob Young,jacobyoung,OF,active,freeagent
Eric Wagaman,ericwagaman,"1B,OF",active,freeagent
Dane Myers,danemyers,OF,IL10,freeagent
Jack Dreyer,jackdreyer,"SP,RP",active,freeagent
Blake Dunn,blakedunn,OF,IL10,freeagent
Alex Freeland,alexfreeland,"2B,3B,SS",active,freeagent
Lake Bachar,lakebachar,"SP,RP",active,freeagent
Billy Cook,billycook,OF,active,freeagent
Jack Perkins,jackperkins,"SP,RP",active,freeagent
Juan Morillo,juanmorillo,RP,active,freeagent
Didier Fuentes,didierfuentes,"SP,RP",active,freeagent
Jase Bowen,jasebowen,OF,active,freeagent
PJ Poulin,pjpoulin,"SP,RP",active,freeagent
Kade Morris,kademorris,SP,active,freeagent
Brice Matthews,bricematthews,"2B,OF",active,freeagent
Cooper Ingle,cooperingle,C,active,freeagent
Jonah Cox,jonahcox,OF,active,freeagent
LuJames Groover,lujamesgroover,"1B,3B",active,freeagent
Nolan Schanuel,nolanschanuel,1B,active,freeagent
Colt Emerson,coltemerson,"3B,SS",active,freeagent
Hurston Waldrep,hurstonwaldrep,SP,active,freeagent
Dylan Crews,dylancrews,OF,active,freeagent
Wyatt Langford,wyattlangford,OF,IL10,freeagent
Jacob Wilson,jacobwilson,SS,IL10,freeagent
Rhett Lowder,rhettlowder,SP,active,freeagent
Matt Shaw,mattshaw,"3B,OF",IL10,freeagent
Tommy Troy,tommytroy,"2B,OF",active,freeagent
Cooper Pratt,cooperpratt,SS,active,freeagent
Cole Carrigg,colecarrigg,OF,active,freeagent
Luke Keaschall,lukekeaschall,"2B,OF",active,freeagent
Grant Taylor,granttaylor,"SP,RP",active,freeagent
Erik Sabrowski,eriksabrowski,RP,active,freeagent
Ben Williamson,benwilliamson,"2B,3B,SS",active,freeagent
Seth Halvorsen,sethhalvorsen,RP,active,freeagent
Tanner Gordon,tannergordon,"SP,RP",active,freeagent
Matt Svanson,mattsvanson,RP,active,freeagent
Michael Petersen,michaelpetersen,RP,active,freeagent
Juan Mejia,juanmejia,RP,active,freeagent
Will Klein,willklein,RP,active,freeagent
