Name,Ubicacion,Starts,Doble_Start,Favorabilidad,ERA,xERA,Ks,xwOBA,Oponentes
J.T. Ginn,🔓 Waiver,1,➡️ Simple,35.1,2.98,3.63,44,0.303,2026-05-18 vs Los Angeles Angels (🟡 Normal) wOBA:0.310
Shane McClanahan,⚔️ Rival,1,➡️ Simple,34.8,2.82,3.43,47,0.295,2026-05-18 vs Baltimore Orioles (🟡 Normal) wOBA:0.315
Jose Quintana,🔓 Waiver,1,➡️ Simple,34.8,4.08,4.5,20,0.334,2026-05-18 vs Texas Rangers (🟡 Normal) wOBA:0.304
Mike Burrows,⚔️ Rival,1,➡️ Simple,34.5,5.72,3.95,46,0.315,2026-05-20 vs Minnesota Twins (🟡 Normal) wOBA:0.318
Chris Paddack,🔓 Waiver,1,➡️ Simple,34.4,7.07,4.24,30,0.325,2026-05-22 vs St. Louis Cardinals (🟡 Normal) wOBA:0.317
Mitch Keller,🔓 Waiver,1,➡️ Simple,34.2,3.59,4.27,38,0.326,2026-05-19 vs St. Louis Cardinals (🟡 Normal) wOBA:0.317
Foster Griffin,🔓 Waiver,1,➡️ Simple,34.0,3.53,4.53,49,0.335,2026-05-19 vs New York Mets (🟡 Normal) wOBA:0.290
Gavin Williams,⚔️ Rival,1,➡️ Simple,33.9,3.67,4.41,73,0.331,2026-05-22 vs Philadelphia Phillies (🟡 Normal) wOBA:0.310
Tanner Bibee,⚔️ Rival,1,➡️ Simple,33.7,4.15,3.74,47,0.307,2026-05-20 vs Detroit Tigers (🟡 Normal) wOBA:0.316
Joe Ryan,⚔️ Rival,1,➡️ Simple,33.6,3.2,3.14,52,0.283,2026-05-20 vs Houston Astros (🟡 Normal) wOBA:0.329
Emmet Sheehan,⚔️ Rival,1,➡️ Simple,33.4,4.54,3.74,49,0.307,2026-05-19 vs San Diego Padres (🟡 Normal) wOBA:0.298
Jacob Misiorowski,⚔️ Rival,1,➡️ Simple,33.3,2.12,2.5,80,0.253,2026-05-19 vs Chicago Cubs (🟡 Normal) wOBA:0.335
Yoshinobu Yamamoto,⚔️ Rival,1,➡️ Simple,33.2,3.32,3.79,56,0.309,2026-05-18 vs San Diego Padres (🟡 Normal) wOBA:0.298
Joey Cantillo,⚔️ Rival,1,➡️ Simple,33.1,3.4,3.9,45,0.313,2026-05-21 vs Detroit Tigers (🟡 Normal) wOBA:0.316
Dustin May,⚔️ Rival,1,➡️ Simple,33.1,4.81,4.44,35,0.332,2026-05-21 vs Pittsburgh Pirates (🟡 Normal) wOBA:0.324
Lance McCullers Jr.,⚔️ Rival,1,➡️ Simple,32.8,6.86,4.38,43,0.33,2026-05-19 vs Minnesota Twins (🟡 Normal) wOBA:0.318
Kyle Freeland,🔓 Waiver,1,➡️ Simple,32.8,7.22,5.42,31,0.362,2026-05-20 vs Texas Rangers (🟡 Normal) wOBA:0.304
Nolan McLean,⚔️ Rival,1,➡️ Simple,32.6,2.92,2.77,64,0.266,2026-05-19 vs Washington Nationals (🟡 Normal) wOBA:0.328
Andrew Abbott,⚔️ Rival,1,➡️ Simple,32.4,4.21,4.78,35,0.343,2026-05-20 vs Philadelphia Phillies (🟡 Normal) wOBA:0.310
Jake Irvin,🔓 Waiver,1,➡️ Simple,32.1,5.59,5.6,51,0.367,2026-05-18 vs New York Mets (🟡 Normal) wOBA:0.290
Zack Littell,🔓 Waiver,1,➡️ Simple,32.1,6.1,7.72,20,0.418,2026-05-20 vs New York Mets (🟡 Normal) wOBA:0.290
Aaron Civale,🔓 Waiver,1,➡️ Simple,32.1,2.7,4.38,35,0.33,2026-05-20 vs Los Angeles Angels (🟡 Normal) wOBA:0.310
Carmen Mlodzinski,🔓 Waiver,1,➡️ Simple,32.0,4.4,4.82,43,0.344,2026-05-20 vs St. Louis Cardinals (🟡 Normal) wOBA:0.317
Luis Severino,⚔️ Rival,1,➡️ Simple,31.8,4.45,4.47,54,0.333,2026-05-21 vs Los Angeles Angels (🟡 Normal) wOBA:0.310
